Name,Time,Batt_Volt,Temp,pH,pHmv,Cond,DOpct,DOmgl,DOgain,Turb,Depth,Lat_dd,Long_dd,GPStime,Num_Sats
WNF-S007,08/11/2018 00:30:00,12.61062,23.78,7.04,-53.1,0.369,39.6,3.35,-999,8.5,2.01,41.12733,-73.80827,42932,10
WNF-S007,08/11/2018 00:15:00,12.61602,23.57,7.04,-53.3,0.369,38.5,3.26,-999,9,2.013,41.1273,-73.80823,41432,10
WNF-S007,08/11/2018 00:00:00,12.61017,23.63,7.04,-53.1,0.368,39.2,3.32,-999,8.2,2.017,41.12734,-73.80824,35932,8
WNF-S007,08/10/2018 23:45:00,12.62725,23.67,7.04,-53.2,0.368,39.2,3.32,-999,8.7,2.02,41.12731,-73.80827,34432,9
WNF-S007,08/10/2018 23:30:00,12.62725,23.67,7.04,-53.2,0.367,43.1,3.65,-999,8.3,2.02,41.1273,-73.80824,32932,9
WNF-S007,08/10/2018 23:15:00,12.62725,23.68,7.04,-53.4,0.366,37.6,3.18,-999,8.7,2.025,41.1273,-73.80823,31432,10
WNF-S007,08/10/2018 23:00:00,12.63834,23.59,7.05,-53.6,0.366,39.9,3.38,-999,9.1,2.028,41.1273,-73.80823,25932,9
WNF-S007,08/10/2018 22:45:00,12.63834,23.79,7.05,-53.5,0.365,42.7,3.61,-999,9.5,2.032,41.12733,-73.80822,24432,10
WNF-S007,08/10/2018 22:30:00,12.64388,23.68,7.05,-53.5,0.364,42.4,3.59,-999,8.6,2.032,41.12732,-73.80823,22932,10
WNF-S007,08/10/2018 22:15:00,12.64388,23.65,7.05,-53.9,0.366,44.2,3.74,-999,9.1,2.031,41.1273,-73.80823,21432,8
WNF-S007,08/10/2018 22:00:00,12.64388,23.76,7.05,-53.9,0.364,44.3,3.74,-999,9,2.031,41.1273,-73.80823,15932,8
WNF-S007,08/10/2018 21:45:00,12.64388,23.66,7.06,-54.2,0.365,44.9,3.8,-999,9.9,2.03,41.1273,-73.8082,14432,6
WNF-S007,08/10/2018 21:30:00,12.64942,23.75,7.06,-54.3,0.362,47.6,4.02,-999,9.4,2.031,41.12733,-73.80824,12932,6
WNF-S007,08/10/2018 21:15:00,12.65497,23.76,7.06,-54.1,0.364,45.4,3.84,-999,9.1,2.038,41.1273,-73.80821,11432,7
WNF-S007,08/10/2018 21:00:00,12.65497,23.74,7.05,-53.9,0.364,44.4,3.75,-999,9,2.044,41.12733,-73.80826,5932,7
WNF-S007,08/10/2018 20:45:00,12.65497,23.74,7.06,-54.1,0.365,45.7,3.86,-999,9.6,2.046,41.12736,-73.80822,4432,8
WNF-S007,08/10/2018 20:30:00,12.64942,23.68,7.06,-54.3,0.365,49.1,4.16,-999,10.2,2.044,41.12735,-73.80821,2932,8
WNF-S007,08/10/2018 20:15:00,12.66051,23.77,7.07,-54.7,0.363,56.5,4.77,-999,10.3,2.044,41.12736,-73.80822,1432,7
WNF-S007,08/10/2018 20:00:00,12.65497,23.66,7.06,-54.4,0.366,49.8,4.22,-999,10.7,2.042,41.12734,-73.80823,235932,8
WNF-S007,08/10/2018 19:45:00,12.6716,23.73,7.05,-54,0.362,50.1,4.24,-999,10.4,2.041,41.12734,-73.80826,234432,8
WNF-S007,08/10/2018 19:30:00,12.67714,23.72,7.06,-54.3,0.356,51.6,4.36,-999,9.8,2.037,41.12734,-73.80826,232932,8
WNF-S007,08/10/2018 19:15:00,12.69931,23.78,7.06,-54.3,0.353,49.3,4.17,-999,10,2.03,41.12736,-73.80828,231432,7
