Name,Time,Batt_Volt,Temp,pH,pHmv,Cond,DOpct,DOmgl,DOgain,Turb,Depth,Lat_dd,Long_dd,GPStime,Num_Sats
WNF-S007,6/21/18 14:30,13.85111,23.29,7.77,-96.1,1.182,133.6,11.36,-999,1.2,1.745,41.12735,-73.80826,182940,10
WNF-S007,6/21/18 14:15,13.75693,23.01,7.79,-97.4,1.18,133.9,11.45,-999,1.5,1.749,41.12735,-73.80824,181440,10
WNF-S007,6/21/18 14:00,13.9233,23.13,7.81,-98.4,1.18,140.4,11.97,-999,1.6,1.754,41.12734,-73.80823,175940,10
WNF-S007,6/21/18 13:45,13.88492,23.04,7.79,-97.2,1.18,139.8,11.94,-999,1,1.755,41.12735,-73.80827,174440,9
WNF-S007,6/21/18 13:30,13.92873,23.06,7.79,-97,1.184,139.4,11.9,-999,1.3,1.758,41.12735,-73.80826,172940,10
WNF-S007,6/21/18 13:15,13.67915,23.22,7.78,-96.5,1.184,138.6,11.8,-999,1.4,1.763,41.12734,-73.80826,171440,10
WNF-S007,6/21/18 13:00,13.57274,23.26,7.76,-95.4,1.179,127.7,10.86,-999,1.3,1.762,41.1273,-73.80823,165940,10
WNF-S007,6/21/18 12:45,13.6605,23.06,7.75,-94.7,1.18,118.9,10.15,-999,1.2,1.769,41.1273,-73.80823,164440,10
WNF-S007,6/21/18 12:30,14.04912,22.93,7.74,-93.9,1.175,129.1,11.05,-999,1.6,1.762,41.12732,-73.80821,162940,9
WNF-S007,6/21/18 12:15,13.53351,22.99,7.75,-94.5,1.181,128.3,10.97,-999,1.7,1.769,41.12734,-73.80823,161440,8
WNF-S007,6/21/18 12:00,13.82667,22.99,7.75,-94.6,1.182,130.7,11.18,-999,1.5,1.775,41.12731,-73.80826,155940,10
WNF-S007,6/21/18 11:45,13.84343,23.04,7.77,-95.7,1.178,135.8,11.6,-999,1.7,1.776,41.12733,-73.80827,154440,10
WNF-S007,6/21/18 11:30,14.09823,22.93,7.75,-94.8,1.184,132,11.3,-999,1.5,1.781,41.12732,-73.80824,152940,10
WNF-S007,6/21/18 11:15,13.61027,22.87,7.76,-95.3,1.189,131.3,11.26,-999,1.2,1.779,41.12731,-73.80821,151440,9
WNF-S007,6/21/18 11:00,13.57621,22.91,7.78,-96.4,1.183,132.9,11.38,-999,1.5,1.779,41.1273,-73.80823,145940,8
WNF-S007,6/21/18 10:45,13.45968,22.95,7.79,-96.8,1.179,130.8,11.19,-999,1.8,1.781,41.12732,-73.80823,144440,10
WNF-S007,6/21/18 10:30,14.18559,22.82,7.78,-96.4,1.188,135,11.58,-999,1.7,1.782,41.12731,-73.80822,142940,9
WNF-S007,6/21/18 10:15,13.69796,22.68,7.81,-98,1.186,133.8,11.51,-999,1.7,1.782,41.12734,-73.80826,141440,10
WNF-S007,6/21/18 10:00,13.54834,22.74,7.82,-98.6,1.186,124,10.65,-999,1.8,1.782,41.12731,-73.80822,135940,9
WNF-S007,6/21/18 9:45,13.54834,22.95,7.82,-99.1,1.177,122.2,10.46,-999,1.5,1.779,41.12734,-73.80826,134440,8
WNF-S007,6/21/18 9:30,13.48739,22.79,7.83,-99.3,1.184,132,11.33,-999,1.7,1.777,41.12734,-73.80827,132940,8
WNF-S007,6/21/18 9:15,14.0803,22.74,7.82,-98.6,1.186,131.6,11.3,-999,1.7,1.78,41.12735,-73.8083,131440,8
WNF-S007,6/21/18 9:00,13.78662,22.66,7.84,-100,1.184,134.1,11.54,-999,1.4,1.78,41.12736,-73.80832,125940,8
WNF-S007,6/21/18 8:45,13.57051,22.71,7.92,-104.5,1.171,131,11.26,-999,1.7,1.783,41.12731,-73.80823,124440,8
WNF-S007,6/21/18 8:30,13.3544,22.71,7.89,-103,1.173,133.3,11.46,-999,2,1.779,41.12734,-73.80821,122940,8
WNF-S007,6/21/18 8:15,13.13829,22.91,7.91,-103.9,1.168,115.8,9.91,-999,1.7,1.775,41.12734,-73.80823,121440,8
WNF-S007,6/21/18 8:00,13.06626,22.81,7.89,-103,1.173,122.5,10.51,-999,1.7,1.767,41.12732,-73.80822,115940,8
WNF-S007,6/21/18 7:45,13.03301,22.87,7.89,-102.6,1.173,129.8,11.13,-999,1.8,1.762,41.12731,-73.80821,114440,8
WNF-S007,6/21/18 7:30,12.92772,22.76,7.9,-103.7,1.173,129.2,11.1,-999,1.7,1.765,41.12732,-73.80821,112940,8
WNF-S007,6/21/18 7:15,12.96097,22.96,7.93,-105.5,1.166,129.5,11.08,-999,1.7,1.759,41.12731,-73.80823,111440,8
WNF-S007,6/21/18 7:00,12.80028,22.87,7.93,-105.3,1.174,135.3,11.6,-999,2,1.757,41.12733,-73.80823,105940,9
WNF-S007,6/21/18 6:45,12.70053,22.83,7.92,-104.4,1.172,125.8,10.79,-999,2.1,1.76,41.12734,-73.80826,104440,10
WNF-S007,6/21/18 6:30,12.61187,22.92,7.89,-103.1,1.176,130.4,11.17,-999,2,1.755,41.12732,-73.80826,102940,9
WNF-S007,6/21/18 6:15,12.60079,22.81,7.87,-101.6,1.181,127.4,10.93,-999,1.7,1.754,41.12735,-73.80827,101440,9
WNF-S007,6/21/18 6:00,12.58971,23,7.87,-101.9,1.175,133.9,11.45,-999,1.8,1.752,41.12734,-73.80826,95940,10
WNF-S007,6/21/18 5:45,12.57863,22.81,7.88,-102.4,1.182,131.4,11.28,-999,1.5,1.755,41.12734,-73.80826,94440,10
WNF-S007,6/21/18 5:30,12.58417,22.94,7.9,-103.4,1.176,135.3,11.58,-999,1.8,1.749,41.12734,-73.80824,92940,10
WNF-S007,6/21/18 5:15,12.58971,22.92,7.91,-104.2,1.176,139.5,11.95,-999,1.7,1.748,41.12734,-73.80823,91440,9
WNF-S007,6/21/18 5:00,12.57863,22.8,7.94,-105.9,1.172,141.2,12.12,-999,1.6,1.738,41.12734,-73.80827,85940,7
WNF-S007,6/21/18 4:45,12.58971,22.92,7.93,-105.1,1.18,137.9,11.81,-999,1.6,1.736,41.12733,-73.80827,84440,7
WNF-S007,6/21/18 4:30,12.59525,23.05,7.93,-105.1,1.175,120.6,10.3,-999,1.7,1.733,41.12735,-73.80826,82940,9
WNF-S007,6/21/18 4:15,12.60079,23,7.91,-104.1,1.18,126.2,10.79,-999,1.8,1.741,41.12734,-73.80827,81440,10
WNF-S007,6/21/18 4:00,12.60079,23.08,7.91,-103.8,1.179,133.9,11.43,-999,1.5,1.742,41.12734,-73.80827,75940,10
WNF-S007,6/21/18 3:45,12.60079,22.96,7.9,-103.4,1.184,136.9,11.71,-999,1.7,1.743,41.12733,-73.80826,74440,8
WNF-S007,6/21/18 3:30,12.60633,23.11,7.88,-102.3,1.184,134.6,11.48,-999,1.7,1.751,41.12733,-73.80826,72940,10
WNF-S007,6/21/18 3:15,12.60633,23.13,7.86,-101.1,1.186,130.9,11.17,-999,1.5,1.756,41.12731,-73.80826,71440,9
WNF-S007,6/21/18 3:00,12.61187,22.97,7.82,-99.1,1.191,131.5,11.25,-999,1.4,1.763,41.12731,-73.80826,65940,10
WNF-S007,6/21/18 2:45,12.61741,23.06,7.81,-98.4,1.193,129.6,11.06,-999,1.7,1.765,41.1273,-73.80823,64440,10
